_fivetran Synced (Ad Set History),Account Id (Ad Set History),Adset Source Id,Asset Feed Id,Bid Strategy,Billing Event,Campaign Id,Configured Status,Created Time,Destination Type,Effective Status,End Time,Id (Ad Set History),Instagram Actor Id,Is Dynamic Creative,Learning Stage Info Attribution Windows,Learning Stage Info Status,Multi Optimization Goal Weight,Name (Ad Set History),Optimization Goal,Optimization Sub Event,Promoted Object Application Id,Promoted Object Custom Event Type,Promoted Object Event Id,Promoted Object Object Store Url,Promoted Object Offer Id,Promoted Object Page Id,Promoted Object Pixel Id,Promoted Object Place Page Set Id,Promoted Object Product Catalog Id,Promoted Object Product Set Id,Recurring Budget Semantics,Review Feedback,Rf Prediction Id,Start Time,Status,Targeting App Install State,Targeting Audience Network Positions,Targeting College Years,Targeting Connections,Targeting Device Platforms,Targeting Education Majors,Targeting Education Schools,Targeting Education Statuses,Targeting Effective Audience Network Positions,Targeting Excluded Connections,Targeting Excluded Publisher Categories,Targeting Excluded Publisher List Ids,Targeting Excluded User Device,Targeting Exclusions,Targeting Facebook Positions,Targeting Friends Of Connections,Targeting Geo Locations Countries,Targeting Geo Locations Location Types,Targeting Instagram Positions,Targeting Locales,Targeting Publisher Platforms,Targeting User Adclusters,Targeting User Device,Targeting User Os,Targeting Wireless Carrier,Targeting Work Employers,Targeting Work Positions,Updated Time,Use New App Click,Bid Amount,Bid Info Actions,Budget Remaining,Daily Budget,Daily Min Spend Target,Daily Spend Cap,Learning Stage Info Conversions,Learning Stage Info Last Sig Edit Ts,Lifetime Budget,Lifetime Imps,Lifetime Min Spend Target,Lifetime Spend Cap,Targeting Age Max,Targeting Age Min,behaviors,work_positions,income,education_statuses,family_statuses,interests
5/3/2022 9:02:49 AM,2639464932933985,23849974506340659,,LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,23850287676990659,ACTIVE,4/25/2022 4:08:45 PM,UNDEFINED,ACTIVE,,23850287696180659,,False,"[
  ""7d_click"",
  ""1d_view""
]",LEARNING,UNDEFINED,W24+ Watercolor painting,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,True,,,4/25/2022 4:08:46 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/25/2022 4:08:45 PM,False,,,1823,2000,,,2,,0,0,,,65,24,0,0,0,0,0, Watercolorpainting
5/3/2022 9:02:49 AM,2639464932933985,23850287677120659,,LOWEST_COST_WITHOUT_CAP,IMPRESSIONS,23850287676990659,ACTIVE,4/25/2022 4:06:02 PM,UNDEFINED,ACTIVE,,23850287764320659,,False,"[
  ""7d_click"",
  ""1d_view""
]",LEARNING,UNDEFINED,W24+ Lookalike (1%) - PV F ≥ 2 - 180d,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,True,,,4/25/2022 4:06:02 PM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/25/2022 4:06:18 PM,False,,,1690,2000,,,0,,0,0,,,65,24,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23849871181890659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/17/2022 12:07:27 AM,UNDEFINED,CAMPAIGN_PAUSED,,23849974506340659,,False,,,UNDEFINED,Int: WatercolorPainting Females,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/17/2022 12:07:27 AM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/21/2022 2:35:53 AM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0, Watercolorpainting
5/3/2022 9:02:49 AM,2639464932933985,23849574292270659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/22/2022 3:12:26 AM,UNDEFINED,CAMPAIGN_PAUSED,,23850016155190659,,False,,,UNDEFINED,Single Kits,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/22/2022 3:12:26 AM,ACTIVE,,,,,"[
  ""mobile"",
  ""desktop""
]",,,,,,,,,,"[
  ""feed"",
  ""video_feeds"",
  ""marketplace""
]",,"[
  ""US""
]","[
  ""home"",
  ""recent""
]","[
  ""stream""
]",,"[
  ""facebook"",
  ""instagram""
]",,,,,,,4/21/2022 2:49:36 AM,False,,,0,,,,,,,0,,,64,28,0,0,0,0,0,Homeschooling and Cakedecorating and Birthdaycake and FunCraftsKids
5/3/2022 9:02:49 AM,2639464932933985,23848377724540659,,,IMPRESSIONS,23849574292260659,PAUSED,1/23/2022 7:21:30 PM,UNDEFINED,PAUSED,,23849574292400659,,False,,,UNDEFINED,broad audience,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,1/23/2022 7:21:31 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/21/2022 2:35:54 AM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23850016155190659,,,IMPRESSIONS,23849574292260659,ACTIVE,4/21/2022 2:53:57 AM,UNDEFINED,CAMPAIGN_PAUSED,,23850254759100659,,False,,,UNDEFINED,Single Kits - Teacher Appreciation,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,4/21/2022 2:53:57 AM,ACTIVE,,,,,"[
  ""mobile"",
  ""desktop""
]",,,,,,,,,,"[
  ""feed"",
  ""video_feeds"",
  ""marketplace""
]",,"[
  ""US""
]","[
  ""home"",
  ""recent""
]","[
  ""stream""
]",,"[
  ""facebook"",
  ""instagram""
]",,,,,,,4/21/2022 2:53:57 AM,False,,,0,,,,,,,0,,,55,28,0,0,0,3 and 9,Parentswithearlyschool-agechildren(06-08years) and Parentswithpreteens(09-12years),LuxuryResorts and Luxurygoods
5/3/2022 9:02:49 AM,2639464932933985,23850016155190659,,,IMPRESSIONS,23849574292260659,ACTIVE,4/21/2022 2:51:34 AM,UNDEFINED,CAMPAIGN_PAUSED,,23850254739590659,,False,,,UNDEFINED,Single Kits - Dino Dig,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,4/21/2022 2:51:34 AM,ACTIVE,,,,,"[
  ""mobile"",
  ""desktop""
]",,,,,,,,,,"[
  ""feed"",
  ""video_feeds"",
  ""marketplace""
]",,"[
  ""US""
]","[
  ""home"",
  ""recent""
]","[
  ""stream""
]",,"[
  ""facebook"",
  ""instagram""
]",,,,,,,4/21/2022 2:51:34 AM,False,,,0,,,,,,,0,,,55,28,0,0,0,0,Parentswithpreschoolers(03-05years) and Parentswithearlyschool-agechildren(06-08years) and Parentswithpreteens(09-12years),TheLandBeforeTime and Dinosaur
5/3/2022 9:02:49 AM,2639464932933985,23848377912560659,,,IMPRESSIONS,23849574292260659,PAUSED,1/23/2022 7:21:30 PM,UNDEFINED,PAUSED,,23849574292270659,,False,,,UNDEFINED,LAL email 2%,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,1/23/2022 7:21:30 PM,PAUSED,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/21/2022 2:35:53 AM,False,,,0,,,,,,,0,,,65,18,0,0,0,0,0,0
5/3/2022 9:02:49 AM,2639464932933985,23849871434150659,,,IMPRESSIONS,23849574292260659,ACTIVE,3/20/2022 4:28:41 AM,UNDEFINED,CAMPAIGN_PAUSED,,23850002288540659,,False,,,UNDEFINED,INT: crafts 2,OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/20/2022 4:28:41 AM,ACTIVE,,,,,,,,,,,,,,,,,"[
  ""US""
]","[
  ""home"",
  ""recent""
]",,,,,,,,,,4/21/2022 2:35:53 AM,False,,,0,,,,,,,0,,,55,25,0,0,0,0,0,Homeschooling and Cakedecorating and KidsActivities and FunCraftsKids
5/3/2022 9:02:49 AM,2639464932933985,0,,,IMPRESSIONS,23850037312470659,ACTIVE,3/24/2022 2:37:18 AM,UNDEFINED,ACTIVE,3/29/2022 2:37:48 AM,23850037312560659,,False,,,UNDEFINED,"Post: ""Hippity Hop! #Easter Is On Its Way! Get ready for...""",OFFSITE_CONVERSIONS,NONE,,PURCHASE,,,,,132547158685605,,,,False,,,3/24/2022 2:37:48 AM,ACTIVE,,,,,,,,,,,,,,,,,,"[
  ""home""
]",,,"[
  ""facebook"",
  ""instagram"",
  ""messenger""
]",,,,,,,3/24/2022 2:37:18 AM,False,,,0,,,,,,,0,,,65,30,0,0,Householdincome:top5%ofZIPcodes(US) and Householdincome:top10%ofZIPcodes(US) and Householdincome:top25%-50%ofZIPcodes(US),0,Parentswithpreschoolers(03-05years) and Parentswithearlyschool-agechildren(06-08years) and Parentswithpreteens(09-12years),Motherhood and Boutiques and Crafts and Desserts and Painting and Parenting and Onlineshopping and Children'sclothing and Doityourself(DIY) and Family and Luxurygoods
